"","X","RaceID","Year","GPNAME","novertakes","unfin","wetweather","RATING","totaldrivers","constructorWon"
"1",0,18,2008,"Australian GP",15,17,0,7.609,22,1
"2",1,19,2008,"Malaysian GP",6,11,0,5.738,22,1
"3",2,20,2008,"Bahrain GP",15,11,0,5.364,22,2
"4",3,21,2008,"Spanish GP",3,13,0,5.085,22,6
"5",4,22,2008,"Turkish GP",15,10,0,6.816,20,6
"6",5,23,2008,"Monaco GP",33,11,1,8.177,20,6
"7",6,24,2008,"Canadian GP",24,8,0,7.809,20,6
"8",7,25,2008,"French GP",11,7,0,3.977,20,6
"9",8,26,2008,"British GP",47,17,1,8.164,20,6
"10",9,27,2008,"German GP",22,4,0,7.18,20,6
"11",10,28,2008,"Hungarian GP",3,9,0,6.202,20,6
"12",11,29,2008,"European GP",4,9,0,3.977,20,6
"13",12,30,2008,"Belgian GP",40,11,1,7.736,20,6
"14",13,31,2008,"Italian GP",48,5,1,8.153,20,6
"15",14,32,2008,"Singapore GP",14,6,0,6.302,20,1
"16",15,33,2008,"Japanese GP",25,8,0,6.66,20,6
"17",16,34,2008,"Chinese GP",10,6,0,4.446,20,6
"18",17,35,2008,"Brazilian GP",31,11,1,8.756,20,6
"19",18,1,2009,"Australian GP",32,9,0,7.937,20,23
"20",19,2,2009,"Malaysian GP",38,10,1,5.284,20,23
"21",20,3,2009,"Chinese GP",65,7,1,6.69,20,23
"22",21,4,2009,"Bahrain GP",31,7,0,6.42,20,23
"23",22,5,2009,"Spanish GP",3,12,0,5.33,20,23
"24",23,6,2009,"Monaco GP",8,11,0,5.504,20,23
"25",24,7,2009,"Turkish GP",13,7,0,5.276,20,23
"26",25,8,2009,"British GP",11,9,0,5.755,20,23
"27",26,9,2009,"German GP",18,3,0,7.096,20,23
"28",27,10,2009,"Hungarian GP",7,7,0,6.808,20,23
"29",28,11,2009,"European GP",1,5,0,5.355,20,23
"30",29,12,2009,"Belgian GP",11,6,0,7.852,20,23
"31",30,13,2009,"Italian GP",10,9,0,7.049,20,23
"32",31,14,2009,"Singapore GP",4,6,0,5.336,20,23
"33",32,15,2009,"Japanese GP",12,5,0,5.58,20,23
"34",33,16,2009,"Brazilian GP",29,8,0,8.309,20,23
"35",34,17,2009,"Abu Dhabi GP",8,5,0,5.794,20,23
"36",35,337,2010,"Bahrain GP",27,11,0,4.587,24,6
"37",36,338,2010,"Australian GP",51,12,1,8.638,24,6
"38",37,339,2010,"Malaysian GP",26,13,0,6.684,24,6
"39",38,340,2010,"Chinese GP",93,11,1,8.326,24,1
"40",39,341,2010,"Spanish GP",11,16,0,4.919,24,1
"41",40,342,2010,"Monaco GP",6,12,0,6.217,24,9
"42",41,343,2010,"Turkish GP",29,12,0,7.984,24,1
"43",42,344,2010,"Canadian GP",72,17,0,8.668,24,1
"44",43,345,2010,"European GP",17,8,0,5.454,24,1
"45",44,346,2010,"British GP",34,9,0,7.203,24,1
"46",45,347,2010,"German GP",16,18,0,3.74,24,1
"47",46,348,2010,"Hungarian GP",9,18,0,6.654,24,9
"48",47,349,2010,"Belgian GP",71,11,1,8.368,24,9
"49",48,350,2010,"Italian GP",19,11,0,6.759,24,9
"50",49,351,2010,"Singapore GP",33,14,0,7.194,24,9
"51",50,352,2010,"Japanese GP",10,14,0,6.642,24,9
"52",51,353,2010,"Korean GP",39,12,1,7.536,24,9
"53",52,354,2010,"Brazilian GP",36,17,0,6.253,24,9
"54",53,355,2010,"Abu Dhabi GP",16,8,0,6.602,24,9
"55",54,841,2011,"Australian GP",31,17,0,6.751,24,9
"56",55,842,2011,"Malaysian GP",65,14,0,7.775,24,9
"57",56,843,2011,"Chinese GP",98,10,0,9.241,24,9
"58",57,844,2011,"Turkish GP",132,12,0,7.306,24,9
"59",58,845,2011,"Spanish GP",94,20,0,7.319,24,9
"60",59,846,2011,"Monaco GP",28,18,0,7.684,24,9
"61",60,847,2011,"Canadian GP",129,12,1,9.095,24,9
"62",61,848,2011,"European GP",48,17,0,3.871,24,9
"63",62,849,2011,"British GP",30,12,1,7.96,24,9
"64",63,850,2011,"German GP",53,18,0,8.43,24,9
"65",64,851,2011,"Hungarian GP",75,18,1,8.344,24,9
"66",65,852,2011,"Belgian GP",99,11,0,7.772,24,9
"67",66,853,2011,"Italian GP",51,18,0,7.494,24,9
"68",67,854,2011,"Singapore GP",54,18,0,6.39,24,9
"69",68,855,2011,"Japanese GP",80,5,0,7.57,24,9
"70",69,856,2011,"Korean GP",55,12,0,6.915,24,9
"71",70,857,2011,"Indian GP",28,17,0,5.555,24,9
"72",71,858,2011,"Abu Dhabi GP",68,15,0,6.127,24,9
"73",72,859,2011,"Brazilian GP",31,19,0,5.771,24,9
"74",73,860,2012,"Australian GP",43,12,0,7.662,24,1
"75",74,861,2012,"Malaysian GP",83,9,1,8.452,24,1
"76",75,862,2012,"Chinese GP",97,7,0,8.648,24,1
"77",76,863,2012,"Bahrain GP",81,10,0,6.904,24,9
"78",77,864,2012,"Spanish GP",56,15,0,8.274,24,9
"79",78,865,2012,"Monaco GP",13,14,0,5.436,24,9
"80",79,866,2012,"Canadian GP",48,10,0,8.197,24,9
"81",80,867,2012,"European GP",81,9,0,8.784,24,9
"82",81,868,2012,"British GP",49,9,0,7.048,24,9
"83",82,869,2012,"German GP",71,10,0,7.055,24,9
"84",83,870,2012,"Hungarian GP",18,10,0,5.975,24,9
"85",84,871,2012,"Belgian GP",61,11,0,7.467,24,9
"86",85,872,2012,"Italian GP",66,11,0,7.64,24,9
"87",86,873,2012,"Singapore GP",64,8,0,5.998,24,9
"88",87,874,2012,"Japanese GP",44,10,0,6.381,24,9
"89",88,875,2012,"Korean GP",36,9,0,5.158,24,9
"90",89,876,2012,"Indian GP",35,10,0,5.194,24,9
"91",90,877,2012,"Abu Dhabi GP",56,7,0,8.854,24,9
"92",91,878,2012,"United States GP",69,11,0,8.772,24,9
"93",92,879,2012,"Brazilian GP",158,15,1,9.449,24,9
"94",93,880,2013,"Australian GP",59,10,0,7.698,22,6
"95",94,881,2013,"Malaysian GP",55,11,1,6.826,22,9
"96",95,882,2013,"Chinese GP",84,8,0,7.412,22,9
"97",96,883,2013,"Bahrain GP",89,7,0,7.826,22,9
"98",97,884,2013,"Spanish GP",74,13,0,5.947,22,9
"99",98,885,2013,"Monaco GP",17,7,0,6.132,22,9
"100",99,886,2013,"Canadian GP",48,17,0,6.329,22,9
"101",100,887,2013,"British GP",92,4,0,7.394,22,9
"102",101,888,2013,"German GP",54,7,0,7.643,22,9
"103",102,890,2013,"Hungarian GP",28,14,0,7.677,22,9
"104",103,891,2013,"Belgian GP",64,7,0,5.688,22,9
"105",104,892,2013,"Italian GP",28,7,0,5.84,22,9
"106",105,893,2013,"Singapore GP",39,8,0,5.973,22,9
"107",106,894,2013,"Korean GP",69,5,0,7.351,22,9
"108",107,895,2013,"Japanese GP",34,11,0,7.338,22,9
"109",108,896,2013,"Indian GP",57,10,0,6.502,22,9
"110",109,897,2013,"Abu Dhabi GP",47,9,0,5.017,22,9
"111",110,898,2013,"United States GP",23,6,0,5.396,22,9
"112",111,899,2013,"Brazilian GP",68,13,0,7.144,22,9
"113",112,900,2014,"Australian GP",30,12,0,6.89,22,131
"114",113,901,2014,"Malaysian GP",33,14,0,5.9,22,1
"115",114,902,2014,"Bahrain GP",74,7,0,9.095,22,131
"116",115,903,2014,"Chinese GP",42,13,0,5.47,22,131
"117",116,904,2014,"Spanish GP",43,16,0,6.45,22,131
"118",117,905,2014,"Monaco GP",10,18,0,7.04,22,131
"119",118,906,2014,"Canadian GP",32,12,0,9.19,22,131
"120",119,907,2014,"Austrian GP",43,11,0,6.7,22,131
"121",120,908,2014,"British GP",43,13,0,7.85,22,131
"122",121,909,2014,"German GP",92,14,0,7.86,22,131
"123",122,910,2014,"Hungarian GP",52,9,1,9.14,22,131
"124",123,911,2014,"Belgian GP",62,7,0,7.76,22,131
"125",124,912,2014,"Italian GP",45,9,0,7.42,22,131
"126",125,913,2014,"Singapore GP",52,6,0,6.43,22,131
"127",126,915,2014,"Russian GP",44,8,0,4.06,21,131
"128",127,916,2014,"United States GP",40,8,0,7.33,18,131
"129",128,917,2014,"Brazilian GP",41,9,0,7.22,18,131
"130",129,918,2014,"Abu Dhabi GP",56,8,0,6.49,20,131
"131",130,926,2015,"Australian GP",11,13,0,4.75,18,6
"132",131,927,2015,"Malaysian GP",74,13,0,8.37,20,131
"133",132,928,2015,"Chinese GP",32,11,0,5.72,20,131
"134",133,929,2015,"Bahrain GP",45,13,0,7.366,20,131
"135",134,930,2015,"Spanish GP",30,14,0,5.15,20,131
"136",135,931,2015,"Monaco GP",10,6,0,5.63,20,131
"137",136,932,2015,"Canadian GP",38,13,0,5.54,20,131
"138",137,933,2015,"Austrian GP",21,14,0,5.6,20,131
"139",138,934,2015,"British GP",22,13,1,7.95,20,131
"140",139,936,2015,"Hungarian GP",35,6,0,9.11,20,131
"141",140,937,2015,"Belgian GP",30,10,0,6.39,20,131
"142",141,938,2015,"Italian GP",33,14,0,5.64,20,131
"143",142,939,2015,"Singapore GP",15,8,0,6.55,20,131
"144",143,940,2015,"Japanese GP",37,11,0,5.21,20,131
"145",144,941,2015,"Russian GP",31,9,0,6.96,20,131
"146",145,942,2015,"United States GP",63,8,1,9.1,20,131
"147",146,943,2015,"Mexican GP",33,6,0,5.44,20,131
"148",147,944,2015,"Brazilian GP",38,16,0,4.57,20,131
"149",148,945,2015,"Abu Dhabi GP",31,9,0,5.25,20,131
"150",149,948,2016,"Australian GP",37,9,0,7.757,22,131
"151",150,949,2016,"Bahrain GP",90,16,0,7.382,22,131
"152",151,950,2016,"Chinese GP",170,9,0,7.853,22,131
"153",152,951,2016,"Russian GP",31,17,0,5.32,22,131
"154",153,952,2016,"Spanish GP",54,14,0,8.72,22,131
"155",154,953,2016,"Monaco GP",14,15,1,7.81,22,131
"156",155,954,2016,"Canadian GP",33,15,0,6.61,22,131
"157",156,955,2016,"European GP",80,11,0,4.71,22,131
"158",157,956,2016,"Austrian GP",78,14,0,8.02,22,131
"159",158,957,2016,"British GP",16,12,1,6.47,22,131
"160",159,958,2016,"Hungarian GP",12,16,0,5.11,22,131
"161",160,959,2016,"German GP",58,15,0,5.9,22,131
"162",161,960,2016,"Belgian GP",50,7,0,7.21,22,131
"163",162,961,2016,"Italian GP",49,12,0,4.96,22,131
"164",163,962,2016,"Singapore GP",40,12,0,7.17,22,131
"165",164,963,2016,"Malaysian GP",44,11,0,8.05,22,131
"166",165,965,2016,"United States GP",57,16,0,6.09,22,131
"167",166,966,2016,"Mexican GP",26,12,0,5.91,22,131
"168",167,967,2016,"Brazilian GP",65,6,1,8.2,22,131
"169",168,968,2016,"Abu Dhabi GP",43,10,0,7.6,22,131
"170",169,969,2017,"Australian GP",2,14,0,6.47,20,131
"171",170,970,2017,"Chinese GP",36,13,1,7.5,20,131
"172",171,971,2017,"Bahrain GP",38,10,0,7.9,20,6
"173",172,972,2017,"Russian GP",0,12,0,4.9,20,131
"174",173,973,2017,"Spanish GP",20,17,0,7.85,20,131
"175",174,974,2017,"Monaco GP",3,7,0,4.93,20,6
"176",175,975,2017,"Canadian GP",34,12,0,7.63,20,131
"177",176,976,2017,"Azerbaijan GP",48,8,0,8.8,20,131
"178",177,977,2017,"Austrian GP",13,14,0,5.85,20,131
"179",178,978,2017,"British GP",39,13,0,6.51,20,131
"180",179,979,2017,"Hungarian GP",9,14,0,5.9,20,131
"181",180,980,2017,"Belgian GP",42,4,0,7.25,20,131
"182",181,981,2017,"Italian GP",38,11,0,5.93,20,131
"183",182,982,2017,"Singapore GP",16,9,1,6.4,20,131
"184",183,983,2017,"Malaysian GP",33,14,0,7.4,20,131
"185",184,984,2017,"Japanese GP",19,11,0,6.1,20,131
"186",185,985,2017,"United States GP",44,13,0,7.7,20,131
"187",186,986,2017,"Mexican GP",26,16,0,6.8,20,131
"188",187,987,2017,"Brazilian GP",37,11,0,6.74,20,131
"189",188,988,2017,"Abu Dhabi GP",12,12,0,3.76,20,131
"190",189,989,2018,"Australian GP",5,6,0,6.1,20,6
"191",190,990,2018,"Bahrain GP",62,14,0,8.36,20,6
"192",191,991,2018,"Chinese GP",53,1,0,8.59,20,131
"193",192,992,2018,"Azerbaijan GP",58,7,0,8.57,20,6
"194",193,993,2018,"Spanish GP",13,15,0,4.85,20,131
"195",194,994,2018,"Monaco GP",4,7,0,5.23,20,131
"196",195,995,2018,"Canadian GP",15,14,0,4.24,20,131
"197",196,996,2018,"French GP",52,10,0,6.47,20,131
"198",197,997,2018,"Austrian GP",30,17,0,8.01,20,6
"199",198,998,2018,"British GP",33,6,0,8.69,20,6
"200",199,999,2018,"German GP",66,7,1,8.12,20,131
"201",200,1000,2018,"Hungarian GP",21,14,0,6.11,20,131
"202",201,1001,2018,"Belgian GP",30,11,0,5.29,20,131
